Station name,Location,Island,Zip Code,Charge Fee,Park Fee,Parking Lot,Hours,Ports,Restrictions,Number of Stations,Charge Fees,Manufacturers,Charging Levels,Location Address,,,
Hale Pauahi Parking Structure,Entrance on Beretania Street.  Follow blue signs to Charger.,Oahu,96817,Free,Free for EV Drivers,Hale Pauahi Parking Structure,6:00am-12:00am,1,Activate Charger with ChargePoint Network card or call the number listed on the front of the Charger for access.  Parking fees may apply.,1,Free,ChargePoint,2,"155 N Beretania St.
Honolulu, HI 96817
(21.3135816000, -157.8616886000)",,,
Hapuna Beach Prince Hotel,Valet,Hawaii,96743,TBD,"Free Validated parking, $15/Day Self Park overnight, $20/Day Valet overnight.",Hapuna Beach Prince Hotel,24/7,4, 4 hour limit on EV charging.  Parking fees may apply.,2,Free,OpConnect,2,"62-100 Kauna&rsquo;oa Dr.
Kamuela, HI 96743
(20.0390812000, -155.7134009000)",,,
Hilo International Airport,In parking lot close to terminal entrance,Hawaii,96720,Free,"24 hours $10.  16-30 minutes is $1, 31 minutes- 60 minutes $2, 61 minutes-2 hours $5, 2 hours-3 hours $8.",Hilo International Airport,5:00am - 10:00pm,2,No overnight parking at EV Charger.  Parking fees may apply.,2,Free,Recharge Power,2,"2450 Kekuanaoa St, Suite 215
Hilo, HI 96720
(19.7116702000, -155.0752320000)",,,
University of Hawaii at Hilo,Attached to lifescience building 3344,Hawaii,96720,Free,Free for EV Drivers while Charging.,University of Hawaii at Hilo,24/7,1,Free parking EV Drivers while charging.,1,Free,Legrand,2,"200 W. Kawaili Street
Hilo, HI 96720
(19.6991896000, -155.0804486000)",,,
Hilton Waikaloa,Valet,Hawaii,96738,TBD,"$15/Day Self Park, $20/Day Valet",Hilton Waikaloa,24/7,8,Valet needs to swipe card to activate Charger.   4 hour limit on EV charging.  Parking fees may apply.,4,Free,OpConnect,2,"69-425 Waikoloa Beach Dr.
Waikoloa, HI 96738
(19.9258950000, -155.8837629000)",,,
Kona Commons Shopping Center,On side of Sports Authority,Hawaii,96740,TBD,Free,Kona Commons Shopping Center,8:00am-10:00pm,4,  FOB key required to activate charging station. 4 hour limit.  Parking fees may apply.,2,Free,OpConnect,2,"74-5450 Makala Blvd
Kailua-Kona, HI 96740
(19.6494936000, -156.0049149000)",,,
Kona International Airport at Keahole,1st floor of parking structure across from entrance gate,Hawaii,96740,"Free until further notice, anticipated charging fee: $7/session","24 hours $10.  16-30 minutes is $1, 31 minutes- 60 minutes $2, 61 minutes-2 hours $5, 2 hours-3 hours $8.",Kona International Airport at Keahole,24/7,2,No overnight parking at EV Charger. Parking rates may apply. ,2,Free,Recharge Power,2,"73-200 Kupipi street
Kailua-Kona, HI 96740
(19.7393796000, -156.0410098000)",,,
Mauna Kea Beach Resort,"South end of the parking lot, near the Valet area",Hawaii,96743,TBD,"Free Self-Park and Valet during the day,  Registered Guests  have a $20/night parking fee.",Mauna Kea Beach Resort,24/7,4,4 hour limit.  EV driver needs to pick up a key from the office at the first right after entering parking. Parking rates may apply. ,2,Free,OpConnect,2,"62-100 Mauna Kea Beach
Kohala Coast, HI 96743
(20.0390812000, -155.7134009000)",,,
National Car Rental Kona Airport,"Outside parking, side of the building",Hawaii,96740,TBD,"24 hours $10.  16-30 minutes is $1, 31 minutes- 60 minutes $2, 61 minutes-2 hours $5, 2 hours-3 hours $8.",National Car Rental Kona Airport,5:30am-11:30pm,2,  FOB key required to activate charging station. 4 hour limit. Parking rates may apply. ,1,Free,OpConnect,2,"Keahole International Airport
Kailua-Kona, HI 96740
(19.7367705000, -156.0397822000)",,,
West Hawaii Civic Center,1st floor of parking structure in covered structure,Hawaii,96740,TBD,Free,West Hawaii Civic Center,7:45am-4:30pm Close first Fri of month and County observed holidays,6, 4 hour limit. Parking fees may apply.,3,Free,OpConnect,2,"74-5044 Ane Keohokalole Hwy
Kailua-Kona, HI 96740
(19.6737151000, -156.0038955000)",,,
Grand Hyatt Kauai,In the corner of the guest parking closest to the hotel there are 2 spaces at the level 2 Charger reserved for Eves and 4 spaces at the level 3 Charger reserved for EVs,Kauai,96756,Free,"$25/day for overnight guests, additional $10 for Valet.",Grand Hyatt Kauai,24/7,2,Green Car rents out electric and hybrid vehicles from the hotel.  Registered Guests with EVs can also charge.  Parking fees may apply.,2,Free,AeroVironment,2,"1571 Poipu Rd.
Koloa, HI 96756
(21.8773842000, -159.4400527000)",,,
Chinatown Gateway Plaza Parking Structure,Entrance to parking structure is located on Bethel Street.  Follow blue signs to Charger.,Oahu,96817,Free,Free for EV Drivers,Chinatown Gateway Plaza Parking Structure,6:00am-12:00am,1,Activate Charger with ChargePoint Network card or call the number listed on the front of the C1harger for access.  Parking fees may apply.,1,Free,ChargePoint,2,"1031 Nuuanu Ave
Honolulu, HI 96817
(21.3105430000, -157.8622480000)",,,
Four Seasons Resort Hualalai,"Chargers are located in the Golf Crescent self-park lot, but EV drivers must Valetto utilize Charger",Hawaii,96740,TBD,"Free Self-Park and Valet during the day,  Registered Guests have a $20/night parking fee.",Four Seasons Resort Hualalai,24/7,2,"Priority is for Registered Guests, but restaurant guests are welcome to charge at no cost.  4 hour limit on EV charging.  Parking fees may apply.",2,Free,OpConnect,2,"72-100 Kaupulehu Dr.
Kailua-Kona, HI 96740
(19.8271119000, -155.9913758000)",,,
Hilton Waikiki Beach,Valet,Oahu,96815,Free,"$25.00 valet services, $15.00 for functions, $3.00 with validation",Hilton Waikiki Beach,24/7,2,Parking fees may apply.,2,Free,AeroVironment,2,"2500 Kuhio Ave
Honolulu, HI 96815
(21.2752460000, -157.8218630000)",,,
Kaiser Permanente Honolulu Clinic,EV Charging Stations are located on the 3rd Floor,Oahu,96797,Free,First 3 Hours Free.  Next 3 hours/$1.00.  $0.50cents/ 3o minutes thereafter,Kaiser Permanente Honolulu Clinic,24/7,6,Parking fees may apply.,6,Free,Volta,2,"1010 Pensacola St
Honolulu, HI 96797
(21.3011000000, -157.8461500000)",,,
Wyndham Waikiki Beachwalk Hotel,Valet,Oahu,96815,Free,"Overnight packages include parking. $20.00/day without package. $35.00 for valet services. Visitors day $3.00/20mins $20.94 Overnight. $10.00/half hour. Validations offered from facilities within hotel $4.00/half hour, $6.00 Early-bird special (6am-9am, $11.00 regular flat rate (5pm), Validations offered within the building  Free",Wyndham Waikiki Beachwalk Hotel,24/7,1,Parking fees may apply.,1,Free,AeroVironment,3,"227 Lewers Street
Honolulu, HI 96815
(21.2791427000, -157.8309897000)",,,
Kamehameha Shopping Center,Infront of Longs Drugs,Oahu,96817,Free,Free,Kamehameha Shopping Center,7:00am to 7:00pm,1,2 Hour limit on EV charging,1,Free,Volta,2,"1620 School Street
Honolulu, HI 96817
(21.3363680000, -157.8690949000)",,,
Ko'olina,N/A,Oahu,96707,Free,parking rates may apply ,Ko'olina,24/7,1,Parking rates may apply ,1,Free,ChargePoint,2,"92-149 Waipahe Place
Kapolei, HI 96707
(21.3311400000, -158.1215420000)",,,
Maui Ocean Club,Parking lot,Maui,96761,,,Maui Ocean Club,24/7,1,Parking fees may apply.,1,Free,ChargePoint,2,"100 Nohea Kai Dr.
Lahaina, HI 96761
(20.9158440000, -156.6952920000)",,,
Ward Warehouse,EV Stations located on ground level of TJ Maxx parking structure,Oahu,96814,,Free,Ward Warehouse,Mon-Sun 9:00am-9:30pm,2,Parking rates may apply ,2,Free,Volta,2,"1170 Auahi Street
Honolulu, HI 96814
(21.2935300000, -157.8511680000)",,,
Dole Cannery ,1 Station on the 2nd level of parking structure,Oahu,96817,,Free,Dole Cannery ,7:00am-10:00pm,1,Parking rates may apply. ,1,Free,Volta,2,"753 Iwilei Road
Honolulu, HI 96817
(21.3158788000, -157.8688918000)",,,
Koko Marina Shopping Center ,"On the floor level, outside of Aloha Pacific Credit Union",Oahu,96825,Free,Free parking during the day.  $10/Night for Registered Guests.,Koko Marina Shopping Center ,9:00am-9:00pm,1,Parking rates may apply.,1,Free,Volta,2,"7192 Kalanianaole Hwy
Honolulu, HI 96825
(21.2778781000, -157.7056172000)",,,
Westin Maui Resort & Spa,In valet lot near the desk.,Maui,96761,TBD,,Westin Maui Resort & Spa,24/7,2,Parking fees may apply.  ,1,Free,OpConnect,2,"2365 Kaanapali Pkwy, Maui, HI 96761
Lahaina, HI 96761
(20.9198560000, -156.6950440000)",,,
Nissan,One charger is mounted on the wall to the left of the entrance.  A second charger is available inside the store.,Kauai,96766,,,Nissan,"Mon-Fri 8:00am-6:00pm, Sat 9:00am-5:00pm",2,Parking fees may apply.,2,Free,AeroVironment,2,"3039 Aukele Street
Lihue, HI 96766
(21.9680540000, -159.3569420000)",,,
Waikoloa Marriott,"Chargers are located in the parking lot on the east side of the tennis courts.  Drive to the end of the lot (it's a one way road) and make a U-turn, and the chargers are in a small parking lot on the right.",Hawaii,96738,,,Waikoloa Marriott,24/7,4,Restricted to registered Guests.  Parking fees may apply.  EV drivers need to retrieve FOB key from Security at the bell desk.,2,Free,AeroVironment,2,"69-275 Waikoloa Beach Drive
Waikoloa, HI 96738
(19.9165819000, -155.8847710000)",,,
Tony Nissan,Enter dealer from Moaniani St.  ,Oahu,96797,,,Tony Nissan, 7:00am to 8:00pm,2,Parking fees may apply.  Restricted to Leafs only.,2,Free,AeroVironment,2,"94-1299 Ka Uka Boulevard
Waipahu, HI 96797
(21.4276930000, -157.9978350000)",,,
Marriott's Waiohai Beach Club,First 3 stalls as you enter parking garage,Kauai,96756,,,Marriott's Waiohai Beach Club,24/7,3,Parking fees may apply.  Restricted to registered guests and their visitors.  Parking garage requires key card,3,Free,AeroVironment,2,"2249 Poipu Rd
Koloa, HI 96756
(21.8750600000, -159.4567680000)",,,
Fairmont Orchid,"Guest parking lot, right side.",Hawaii,96743,,,Fairmont Orchid,24/7,2,Parking fees may apply.,2,Free,AeroVironment,2,"1 N Kaniku Dr
Kamuela, HI 96743
(19.9512040000, -155.8602910000)",,,
Enterprise Rent A Car,Parking lot.,Kauai,96766,,,Enterprise Rent A Car,7:00am-10:45pm,2,Restricted to Customers only.,2,Free,AeroVironment,2,"3073 Aukele ST
Lihue, HI 96766
(21.9690800000, -159.3557760000)",,,
Ko'olina ,Parking lot ,Oahu,96707,,Parking rates may apply ,Ko'olina ,24/7,1,Parking rates may apply ,1,Free,ChargePoint,2,"92-149 Waipahe Pl, Kapolei, Hawaii, 96707, United States
Kapolei, HI 96707
(21.3311400000, -158.1215420000)",,,
Grand Hyatt Kauai,In the corner of the guest parking closest to the hotel there are 2 spaces at the level 2 Charger reserved for Eves and 4 spaces at the level 3 Charger reserved for EVs,Kauai,96756,Free,"$25/day for overnight guests, additional $10 for Valet.",Grand Hyatt Kauai,24/7,2,Green Car rents out electric and hybrid vehicles from the hotel.  Registered Guests with EVs can also charge.  Parking fees may apply.,2,Free,AeroVironment,3,"1571 Poipu Rd.
Koloa, HI 96756
(21.8773842000, -159.4400527000)",,,
"County Building, Wailuku","Directly in front of County Building, outdoor lot. Spot is painted green, sign for Eves.",Maui,96793,"There is a $20 deposit for key to activate Charger, pick up at the Maui County Business Resource Center.  Deposit will be returned when key is returned.",Free for EV Drivers,"County Building, Wailuku",24/7,2,Maui County YouTube video on how to use level 3 Charger http://www.youtube.com/watch?v=Aj_2zcCSUQg.  $20 deposit required to activate charging station.  Parking fees may apply.,2,Free,AeroVironment,3,"200 South High Street
Wailuku, HI 96793
(20.8853200000, -156.5040450000)",,,
Waianae Mall Shopping Center,Chargers are located next to each other in front of the 24 hour landraumat,Oahu,96792,Free,Parking fees may apply,Waianae Mall Shopping Center,24/7,2,The security guard that walks around the lot 24/7 needs to activate the charger for use. ,2,Free,AeroVironment,2,"86-120 Farrington Hwy
Waianae, HI 96792
(21.4371200000, -158.1856800000)",,,
Aina Haina Shopping Center,Charger is located in the parking lot.,Oahu,96821,Free,Parking fees may apply,Aina Haina Shopping Center,24/7,2,FOB is required to use charging station,1,Free,OpConnect,2,"820-850 W Hind Drive
Honolulu, HI 96821
(21.2781900000, -157.7547600000)",,,
Kukui Grove Center ,"One charging station is next to Starbucks, and one station is next to Payless Shoes",Kauai,96766,,Free,Kukui Grove Center ,24/7,2,To operate the charging station users must contact the Security Officer on duty by dialing the phone number listed on the charging station ,2,Free,AeroVironment,2,"3-2600 Kaumualii Hwy
Lihue, HI 96766
(21.9695500000, -159.3779700000)",,,
Hilo Home Depot,"Charger is located near the main entrance, close to the lumber area. ",Hawaii,96720,Free,Free,Hilo Home Depot,24/7,2,,1,Free,Schneider Electric,2,"380 Makaala St
Hilo, HI 96720
(19.6983200000, -155.0590900000)",,,
Wilcox Memorial Hospital,One is next to hospital and one is next to clinic,Kauai,96766,Free,Free,Wilcox Memorial Hospital,8am-8pm,4,,2,Free,Pep Stations,2,"3420 Kuhio Hwy
Lihue, HI 96766
(21.9857800000, -159.3626800000)",,,
Ko'olina ,Parking lot ,Oahu,96707,,Parking rates may apply ,Ko'olina ,24/7,1,Parking rates may apply ,1,Free,ChargePoint,2,"92-159 Waipahe Place
Kapolei, HI 96707
(21.3316700000, -158.1193280000)",,,
Aiea Shopping Center ,"Second level, near  Angel's Nail Smart",Oahu,96701,,,Aiea Shopping Center ,24/7,1,3 hour max time allowed to charge. For on site Aiea Shopping Center guests only. Drivers who leave the shopping center while EV is charging will be towed. ,1,Free,SemaConnect,2,"99-115 Aiea Heights Dr #228
Aiea, HI 96701
(21.3787500000, -157.9297400000)",,,
Home Depot,In Home Depot Parking Lot,Oahu,96707,N,,Home Depot,Mon-Fri 24/7 Sat-Sun 6am-10pm,3,,2,Free,Schneider Electric,2,"4600 Kapolei Pkwy
Kapolei, HI 96707
(21.3292100000, -158.0886300000)",,,
T.J. Maxx,T.J. Maxx second floor parking lot,Oahu,96814,,Free,T.J. Maxx,8am-10pm,2,Charing is limited to 3 hours.  Please respect those who would also like to utilize fee service.,2,Free,Volta,2,"1170 Auahi St
Honolulu, HI 96814
(21.2935300000, -157.8511700000)",,,
Kauai Marriott Resort & Beach Club,"Charging station is located on the Kalapaki Cir. side of the hotel, near the Ha'upu Tower, close to handicap stalls",Kauai,96766,Free,"Free parking during the day, Registered Guests have a $16-$19/night parking fee.",Kauai Marriott Resort & Beach Club,24/7,2,Charger use restricted to hotel guests.  Vehicle must be registered at front desk and they will provide a key to activate the Charger. Parking rates may apply ,1,Free,AeroVironment,2,"3610 Rice Street
Lihue, HI 96766
(21.9613990000, -159.3497130000)",,,
Marriott Waiohai Beach Club,Green Car service,Kauai,96756,Free,Free parking during the day.  $10/Night for Registered Guests.,Marriott Waiohai Beach Club,24/7,2,Green Car rents out electric and hybrid vehicles from the hotel.  Registered Guests with EVs can also charge. Parking rates may apply ,2,Free,AeroVironment,2,"2249 Poipu Road
Koloa, HI 96756
(21.8750600000, -159.4567700000)",,,
Princeville Shopping Center,"Rear parking lot, next to public restrooms",Kauai,96722,Free,Free,Princeville Shopping Center,24/7,2,Parking fees may apply,2,Free,Volta,2,"5-4280 Kuhio Highway
Princeville, HI 96722
(22.2135956000, -159.4743178000)",,,
Sheraton Kauai,Attached to the shack near the luau lawn,Kauai,96756,TBD,Free for Day Guests.  $30/night for Registered Guests.,Sheraton Kauai,24/7,3,  FOB key required to activate charging station. 4 hour limit.  Parking fees may apply.,3,Free,OpConnect,2,"2440 Hoonani Rd.
Koloa, HI 96756
(21.8773060000, -159.4622110000)",,,
Westin Princeville Resort,Valet,Kauai,96722,TBD,Free for Day Guests.  $9/night Registered Guests.,Westin Princeville Resort,24/7,4,EV Drivers need to use Valet to Charge.  4 hour limit on EV charging.  Parking fees may apply.,2,Free,OpConnect,2,"3838 Wylie Rd
Princeville, HI 96722
(22.2215879000, -159.4686392000)",,,
Bio-Beetle ECO Rental Cars,By appointment and for Bio-Beetle customers only.,Maui,96732,Free,Free,Bio-Beetle ECO Rental Cars,By appointment and for Bio-Beetle customers only.,1,"Allowing customers to plug in their own Level 1 Charger to outlet,  private to customers by appointment.  ",1,Free,Bring your own cordset/Level 1 Charger,1,"55 Amala Place
Kahului, HI 96732
(20.8949605000, -156.4605913000)",,,
"County Building, Wailuku","Directly in front of County Building, outdoor lot. Spot is painted green, sign for Eves.",Maui,96793,"There is a $20 deposit for key to activate Charger, pick up at the Maui County Business Resource Center.  Deposit will be returned when key is returned.",Free for EV Drivers,"County Building, Wailuku",24/7,2,Maui County YouTube video on how to use level 3 Charger http://www.youtube.com/watch?v=Aj_2zcCSUQg.  $20 deposit required to activate charging station.  Parking fees may apply.,2,Free,AeroVironment,2,"200 south High Street
Wailuku, HI 96793
(20.8853200000, -156.5040450000)",,,
Enterprise Rent A Car,Across the Hana Hwy from the Mercedes dealership. Access from the Hana Hwy. Since this is a rental car location access to the one charge port is by availability only. This charge spot is next to Maui Mall,Maui,96732,Free,Free,Enterprise Rent A Car,7:00am-5:00pm,1,Restricted to customers,1,Free,AeroVironment,2,"40 Hana Hwy
Kahului, HI 96732
(20.8917119000, -156.4629880000)",,,
Four Seasons Maui (Wailea),"Self-park at spaces 167 and 169 (at end of row on left) in Valet/Self Park garage. Move the cone that’s there to prevent non-EV parking. Hint: Valet atHotel Wailea will drive you to/from Four Seasons garage for tip, other hotel valets may if you ask.",Maui,96753,TBD,"Free for day guests, $20/day for overnight guests",Four Seasons Maui (Wailea),24/7,2,"Valet recommended, self-parking needs FOB key from front desk.   4 hour limit on EV Charging. Parking fees may apply.",1,Free,OpConnect,2,"3900 Wailea Alanui
Wailea, HI 96753
(20.6802398000, -156.4424600000)",,,
Jim Falk  Motors of Maui,Charging Station is in the front of the lot.,Maui,96732,Free,Free,Jim Falk  Motors of Maui,7:30am-8:00pm,3,Restricted to Customers only.,3,Free,AeroVironment,2,"260 Hana Hwy
Kahului, HI 96732
(20.8884180000, -156.4584230000)",,,
Kahana Gateway,Charge spots located in the rear of the shopping center underneath the building down from the Shell Station and Kahana Koin-Op.,Maui,96761,TBD,Free,Kahana Gateway,24/7,2,   FOB key required to activate charging station. 4 hour limit.  Parking fees may apply.,2,Free,OpConnect,2,"4405 Honoapiilani Hwy
Kahana, HI 96761
(20.9721490000, -156.6773340000)",,,
Ace Hardware,In front of Panda Express,Oahu,96707,Free,Free,Ace Hardware,"Mon-Sat 7:00am-7:00pm, Sun 8:00am-6:00pm",1,Parking fees may apply,1,Free,AeroVironment,2,"480 Kamokila
Kapolei, HI 96707
(21.3285117000, -158.0865653000)",,,
