Station name,Location,Island,Zip Code,Charge Fee,Park Fee,Parking Lot,Hours,Ports,Restrictions,Number of Stations,Charge Fees,Manufacturers,Charging Levels,Location Address,,,
Sheraton Waikiki,3rd floor parking garage,Oahu,96815,TBD,$10.00 resort fee included for registered guests to self park. Guests visiting for the day can get a validation at the hotel.,Sheraton Waikiki,24/7,6,Charging stations free with parking validation.  4 hour limit on charging.  Need FOB key from front desk to activate Charging station.  Parking fees may apply.   ,3,Free,OpConnect,2,"2255 Kalakaua Ave
Honolulu, HI 96815
(21.2780995000, -157.8298294000)",,,
Stadium Marketplace,Between office max and checkers,Oahu,96818,TBD,Free,Stadium Marketplace,7:00am-9:00pm,4,   FOB key required to activate charging station.4 hour limit.  Parking fees may apply.,4,Free,OpConnect,2,"4561 Salt Lake Blvd
Honolulu, HI 96818
(21.3650062000, -157.9305367000)",,,
The Pan Am Building,"2nd floor, up the ramp take 2 left turns",Oahu,96814,"1st 2 hours free, $5 every additional hour",$2.00 for every half hour. Some offices offer validations,The Pan Am Building,"Mon-Fri 6:00am-10:00pm, Sat 7:00am-5:00pm, Sun closed",1,"First 2 hours of charging are free, $5 every additional hour.  Use your smart phone to charge by credit card at the Charger, instructions on the screen.  Call 1-800 number to sign up for a card.  Parking fees may apply.",1,Free,SemaConnect,2,"1600 Kapiolani Boulevard
Honolulu, HI 96814
(21.2920870000, -157.8391500000)",,,
TOPA Financial Center,Parking garage basement level,Oahu,96813,TBD,"$3.25/half hour, Some offices offer validations",TOPA Financial Center,5:00am-8:00pm,4,  FOB key required to activate charging station. 4 hour limit. Parking fees may apply.,4,Free,OpConnect,2,"700 Bishop St.
Honolulu, HI 96813
(21.3077669000, -157.8635100000)",,,
Town Center of Mililani,In front of Baskin Robins,Oahu,96789,TBD,Free,Town Center of Mililani,7:00am-10:00pm,2, 4 hour limit.  Parking fees may apply.,2,Free,OpConnect,2,"95-1249 Meheula Pkwy
Mililani, HI 96789
(21.4529378000, -158.0076693000)",,,
Turtle Bay Resort,Near beach access parking,Oahu,96731,TBD,Parking fee included for registered guests. No charge for visitors parked at the public beach access stalls.$15.00/day for Valet services,Turtle Bay Resort,24/7,6,  FOB key required to activate charging station.4 hour limit. Parking fees may apply.,6,Free,OpConnect,2,"57-091 Kamehameha Hwy
Kahuku, HI 96731
(21.7048446000, -157.9983759000)",,,
University of Hawaii Faculty Housing,Charge Spot located approximately 200 yards on the left.,Oahu,96822,TBD,Free for EV drivers,University of Hawaii Faculty Housing,24/7,1,  FOB key required to activate charging station.4 hour limit. Free parking for EV drivers.,1,Free,OpConnect,2,"3029 Lowrey Avenue
Honolulu, HI 96822
(21.3081620000, -157.8068970000)",,,
University of Hawaii Lower Campus Parking Garage ,"On first floor, section F. Arena Parking",Oahu,96822,TBD,Free parking for EV Drivers,University of Hawaii Lower Campus Parking Garage ,5:00am-12:00am UH Permit Holders Access: 24/7,4,  FOB key required to activate charging station.4 hour limit. Free parking for EV drivers.,4,Free,OpConnect,2,"2500 Campus Rd
Honolulu, HI 96822
(21.2978800000, -157.8208100000)",,,
USA Hawaii Credit Union,On left after entering parking garage,Oahu,96817,TBD,Free,USA Hawaii Credit Union,"Mon-Fri 7:00am-7:00pm, Sat 7:00am-2:30pm",4,  FOB key required to activate charging station.4 hour limit. Parking fees may apply.,4,Free,OpConnect,2,"1226 College Walk
Honolulu, HI 96817
(21.3155430000, -157.8621410000)",,,
Waikele Center,Located by Gap and Brooks Brothers.,Oahu,96797,Free,Free,Waikele Center,24/7,2,Call security to activate charger.  Parking fees may apply.,2,Free,AeroVironment,2,"94-849 Lumiaina Street
Waipahu, HI 96797
(21.3949100000, -158.0141700000)",,,
Ala Moana Hotel,Basement floor by the elevator in the self parking lot.,Oahu,96814,Free,"$6 with Restaurant Validation.  $20/day Self Park, $25/day Valet.",Ala Moana Hotel,24/7,1,Parking fees may apply,1,Free,AeroVironment,2,"410 Atkinson
Honolulu, HI 96814
(21.2901711000, -157.8393701000)",,,
Waikiki Beach Marriott,"One Charger is on 3rd floor self parking garage, second Charger is in valet",Oahu,96815,Free,"$32.00 resort fee includes parking for registered guests. $37.00 valet .services, $4.00/half hour. Validations are offered at the hotel poolside bar & certain restaurants for 2-4 hours",Waikiki Beach Marriott,24/7,2,After parking use nearby phone and contact security who will use a motion key to activate the charger. Parking fees may apply. ,2,Free,AeroVironment,2,"2552 Kalakaua Avenue
Honolulu, HI 96815
(21.2728669000, -157.8231051000)",,,
Waikiki Parc Hotel & Halekulani Hotel,On the 2nd floor.  Drive up the ramp after you pass the parking booth.,Oahu,96815,Free,Day visitors $3/20 minutes.  Overnight guest packages include parking. $20/day without package. $35/day for valet services.,Waikiki Parc Hotel & Halekulani Hotel,24/7,2,The two hotels share this parking lot.  Green Car rents out electric and hybrid vehicles from the hotel.  Registered Guests with EVs can also charge.  Parking fees may apply.,2,Free,Volta,2,"2233 Helumoa Rd
Honolulu, HI 96815
(21.2783056000, -157.8307087000)",,,
Waikiki Sand Villa,Valet,Oahu,96815,Free to Hotel Guests - Non Guests/Bar Patrons $10.00 per session,$20.94 Overnight. $10.00/half hour. Validations offered from facilities within hotel,Waikiki Sand Villa,24/7,1,Free charging for hotel guests - Non-guests/bar patrons charge fee is a flat $10/session.  Parking fees may apply.,1,Free,Schneider Electric,2,"2375 Ala Wai Blvd
Honolulu, HI 96815
(21.2788420000, -157.8231580000)",,,
Waikiki Trade Center,EV Charging Stations are located on the 6th floor,Oahu,96815,Free,"$4.00/half hour, $6.00 Early-bird special (6am-9am, $11.00 regular flat rate (5pm), Validations offered within the building",Waikiki Trade Center,24/7,4,See Parking Management Office for FOB key to activate the Charger.  Parking fees may apply.,2,Free,AeroVironment,2,"2255 Kuhio Avenue
Honolulu, HI 96815
(21.2797361000, -157.8267701000)",,,
Water Front Plaza,The Charger is located in the basement level of the parking garage just off the Waterfront Plaza aka Restaurant Row Pohukaina Street entrance.  Our signs and parking lot stencils are being fabricated,Oahu,96813,"1st 2 hours free, $5 every additional hour","$3 every 30 minutes, 1.5-2.5 hours free with Validation from various Restaurant",Water Front Plaza,24/7,1,"Charge fee is 2 hours free, $5 every additional hour.  A 2 hour limit may be enforced when demand rises.  Use your smart phone to charge by credit card at the charger, instructions on the screen.  Parking fees may apply.",1,Free,SemaConnect,2,"500 Ala Moana Blvd.
Honolulu, HI 96813
(21.3013068000, -157.8623317000)",,,
Whole Foods Kailua,Parking stall in front of entrance,Oahu,96734,Free,Free,Whole Foods Kailua,7:00am-10:00pm,2,2 hour limit on EV charging.  Parking fees may apply.,2,Free,Volta,2,"629 Kailua Rd Suite #100
Kailua, HI 96734
(21.3941700000, -157.7428400000)",,,
Fasi Civic Center Parking Structure,Public parking entrance is on Alapai Street and S. Beretania Street. Follow blue signs to Charger.,Oahu,96813,Free,Free for EV Drivers,Fasi Civic Center Parking Structure,6:00am-12:00am,1,Activate Charger with ChargePoint Network card or call the number listed on the front of the C1harger for access. Parking fees may apply.,1,Free,ChargePoint,2,"650 S. King Street
Honolulu, HI 96813
(21.3041040000, -157.8550490000)",,,
Honolulu Zoo Parking Lot,Entrance to parking lot is on Kapahulu.  Follow blue signs to Charger.,Oahu,96815,Free,Free for EV Drivers,Honolulu Zoo Parking Lot,6:00am-12:00am,1,Activate Charger with ChargePoint Network card or call the number listed on the front of the Charger for access.  Parking fees may apply.,1,Free,ChargePoint,2,"151 Kapahulu Avenue
Honolulu, HI 96815
(21.2716382000, -157.8213834000)",,,
Neal Blaisdell Center Parking Structure,S. King Street/Victoria street.  Follow blue signs to Charger.,Oahu,96814,Free,Free for EV Drivers,Neal Blaisdell Center Parking Structure,6:00am-12:00am,1,Free parking for EV drivers.  Activate charger with ChargePoint Network card or call the number listed on the front of the charger for access. ,1,Free,ChargePoint,2,"777 Ward Avenue
Honolulu, HI 96814
(21.2994340000, -157.8503780000)",,,
Smith-Beretania Parking Structure,Entrance on Beretania Street between Nuuanu Avenue and Smith Street.  Follow blue signs to Charger.,Oahu,96817,Free,Free for EV Drivers,Smith-Beretania Parking Structure,6:00am-12:00am,1, Free parking for EV Drivers.  Activate Charger with ChargePoint Network card or call the number listed on the front of the Charger for access.  Parking fees may apply.,1,Free,ChargePoint,2,"1170 Nuuanu
Honolulu, HI 96817
(21.3119549000, -157.8606255000)",,,
Historic County Building,2 public chargers located on the Eiwa Street side of the parking lot. Between the County Building and the Museum,Kauai,96766,Paid,Free for EV Drivers,Historic County Building,Business Hours,2,Charging fee is $2/hour.  4 hour limit.  Parking fees may apply.,2,Paid,AeroVironment,2,"4369 Rice Street
Lihue, HI 96766
(21.9739800000, -159.3669600000)",,,
Walmart,Top of row 2. close to garden section.,Hawaii,96720,Blink Plus: $1.00/hour.  Blink Basic: $1.50/hour.  Blink Guest: $2.00/hour,Free,Walmart,24/7,1,,1,Paid,Blink,2,"325 E Makaala St
Hilo, HI 96720
(19.6999700000, -155.0619600000)",,,
Lihue Civic Center-Piikoi Building,1 charger is located on the east side of the building and 2 chargers are located at the south entrance (Rice Street side) of the building,Kauai,96766,"$2.00/hour, up to 4 hours",Free for EV Drivers,Lihue Civic Center-Piikoi Building,24/7,3,Charging fee is $2/hour.  4 hour limit. Free parking for EV drivers.,3,Paid,AeroVironment,2,"4444 Rice Street
Lihue, HI 96766
(21.9750959000, -159.3691415000)",,,
Walmart,Near front entrance.,Oahu,96707,,,Walmart,24/7,1,Parking fees may apply.,1,Paid,Blink,2,"91-600 Farrington Hwy
Kapolei, HI 96707
(21.3398400000, -158.0762200000)",,,
Hawaii State Capitol,"Basement Parking Garage, Entrance off Punchbowl",Oahu,96813,Paid,Public fee $1.00/hour within a 2-hour maximum,Hawaii State Capitol,"4:00am. to 6:30pm Mon-Fri, 6:00am to 2:00pm Saturdays",1,Charging fee is $2.00/hour.  4 hour limit.  Parking fees may apply.,1,Paid,Volta,2,"415 South Beretania St.
Honolulu, HI 96813
(21.3077570000, -157.8573020000)",,,
Honolulu International Airport,"In regular public parking lot in between interisland and main parking structures, 1st floor",Oahu,96819,Flat $7/session,$15.00/day. $3.00/2hours,Honolulu International Airport,24/7,1,Charging fee is a flat $7/session.  Parking fees may apply,1,Paid,Recharge Power,2,"300 Rodgers Boulevard
Honolulu, HI 96819
(21.3326020000, -157.9190477000)",,,
Iolani School,Guest Stall,Oahu,96826,$2/hour,Free,Iolani School,"9:00am-3:00pm the lot is reserved for school staff, after 3:00pm the lot is open to those attending special events at Iolani",2,Restricted to guests of Iolani.  Parking fees may apply.,2,Paid,AeroVironment,2,"563 Kamoku Street
Honolulu, HI 96826
(21.2846790000, -157.8239320000)",,,
5A Rent A Space Business Services Center,Charging station located next to the sidewalk across the parking lot from Ohana Taco.,Maui,96761,$2/hour.  Credit Card required.,Free,5A Rent A Space Business Services Center,24/7,1,Charging fee is $2/hour.  Credit Card required to use this charge spot.  Parking fees may apply.,1,Paid,Schneider Electric,2,"3600 Lower Honoapiilani Road
Lahaina, HI 96761
(20.9526760000, -156.6859930000)",,,
Ka`ahumanu Hale parking Garage  First Circuit Court,"Basement floor, first stall, clearly marked",Oahu,96813,Paid,Free for EV drivers,Ka`ahumanu Hale parking Garage  First Circuit Court,7:00am-5:00pm,1,Charging fee is $2/hour.  4 hour limit. Free parking for EV drivers.,1,Paid,Volta,2,"564 Pohukaina
Honolulu, HI 96813
(21.3023000000, -157.8613170000)",,,
Walmart,First stall in front of the store.,Kauai,96766,Blink Plus: $1.00/hour.  Blink Basic: $1.50/hour.  Blink Guest: $2.00/hour,,Walmart,24/7,1,Parking fees may apply.,1,Paid,Blink,2,"3-3300 Kuhio Hwy
Lihue, HI 96766
(21.9825200000, -159.3653348000)",,,
Elleair Golf Club,Visit the Pro Shop or restaurant & attendant will give you access.,Maui,96753,$12 flat fee per session,Free,Elleair Golf Club,During Golfing hours: 6:30 am to 6:00 pm Mon-Sun and Restaurant hours:  8:00am to 10:00 pm. Closed after 10:00 pm.,1,Charging fee is a flat $12/Session.  Parking fees may apply.,1,Paid,AeroVironment,2,"1345 Piilani Highway
Kihei, HI 96753
(20.7404150000, -156.4429640000)",,,
Aloha Petroleum Kuulwi-Kailua Shell,Special key available in the store.,Oahu,96734,$6/Session,Free,Aloha Petroleum Kuulwi-Kailua Shell,24/7,1,,1,Paid,AeroVironment,3,"434 Kuulei Rd
Kailua, HI 96734
(21.3948651000, -157.7435142000)",,,
Walmart,First parking spot closest to the entrance.,Oahu,96782,Blink Plus: $1.00/hour.  Blink Basic: $1.50/hour.  Blink Guest: $2.00/hour,,Walmart,24/7,1,Parking fees may apply.,1,Paid,Blink,2,"1131 Kuala Street
Pearl City, HI 96782
(21.3972341000, -157.9744577000)",,,
Hyatt Regency Maui,"In Lahaina parking area, take a left turn towards back area, EV station will be directly on your right",Maui,96761,Paid,"Free for Restaurant Guests with validation.  $14/Day for Self-Parking, $5/Valet",Hyatt Regency Maui,24/7,2,$3.50/hour. 4 hour limit.  Pay with Credit Card at charging station.  Parking fees may apply.,1,Paid,Pep Stations,2,"200 Nohea Kai Drive
Lahaina, HI 96761
(20.9126700000, -156.6922010000)",,,
Double Tree by Hilton Alana Waikiki Hotel,Valet,Oahu,96815,Flat $5/Session,Subject to Valet Rates,Double Tree by Hilton Alana Waikiki Hotel,24/7,2,Charge fee is a flat $5/session.  Green Car rents out electric and hybrid vehicles from the hotel.  Registered Guests with EVs can also charge.  Must Valet to charge EV.  Parking fees may apply.,2,Paid,Blink,2,"1956 Ala Moana Blvd
Honolulu, HI 96815
(21.2857580000, -157.8340547000)",,,
Walmart,"Enter roof parking lot via ramp behind the store, charger is located on the farthest left side of the lot near the elevator.",Oahu,96797,Blink Plus: $1.00/hour.  Blink Basic: $1.50/hour.  Blink Guest: $2.00/hour,,Walmart,24/7,1,Parking fees may apply.,1,Paid,Blink,2,"94-595 Kupuohi St
Waipahu, HI 96797
(21.3949810000, -158.0321930000)",,,
Marriott Kauai Lagoons,"Outside building B, 20 stalls down from the front desk.",Kauai,96766,,,Marriott Kauai Lagoons,24/7,1,Parking fees may apply. Restricted to hotel guests. Charge fees are charged to the room.,1,Paid,AeroVironment,2,"3325 Holokawelu Way
Lihue, HI 96766
(21.9811111000, -159.3711111000)",,,
Kapiolani Medical Center,The chargers are located on the 2nd floor and 8th floor.  Stalls are marked.,Oahu,96826,$2/hour,Parking fees may apply,Kapiolani Medical Center,24/7,4,,2,Paid,Pep Stations,2,"1319 Punahou Street
Honolulu, HI 96826
(21.2999200000, -157.8345300000)",,,
Kakaako Piano Lot Parking Facility,"Next to Children’s Discovery Center, right off Ahui St. Ewa side of the lot",Oahu,96813,Paid,"Free for EV Drivers while Charging.  $2/2 hours, 2-10 hours $3, All day is $5",Kakaako Piano Lot Parking Facility,24/7,1,"Charging fee is $1/session, plus $1/hour. Free parking for EV Drivers while Charging.  DRIVERS MUST MOVE THEIR EV OUT OF CHARGING STATION SPOT WHEN CHARGING IS COMPLETE.",1,Paid,Shorepower,2,"160 Ahui Street
Honolulu, HI 96813
(21.2934480000, -157.8605849000)",,,
Kuakini Medical Center,Entrance first floor,Oahu,96817,,parking fees may apply,Kuakini Medical Center,24/7,1,,1,Paid,Eaton,2,"347 N Kuakini St
Honolulu, HI 96817
(21.3210700000, -157.8567700000)",,,
Green Energy Outlet,Green spot for EV Charging in front of lot.  Other Chargers available in garage,Oahu,96813,,Free,Green Energy Outlet,"8:00am-5:00pm Mon-Fri, 8:00am-1:00pm Sat, or available 24/7 with a Charge Card",3,"Charging fee is $4.00 per session plus $2.00/30 minutes.  The ChargePoint Charger has 2 ports, one is outside and available 24/7.  You can pay inside during operating hours, or you can use a Charge Card.  The Tesla Charger is available in the garage only during business hours.  Parking fees may apply.",2,Paid,"ChargePoint, Tesla",2,"575 Cooke Street
Honolulu, HI 96813
(21.2994929000, -157.8572600000)",,,
Maui Memorial Medical Center,Two designated EV parking spaces in the far left of the handicapped parking in the row in front of the ER entrance (facing west Maui mountains).,Maui,96793,$15/session,Free,Maui Memorial Medical Center,24/7,2,Charging fee is a flat $15/session.  4 hour limit.  Parking fees may apply.,2,Paid,AeroVironment,2,"221 Mahalani Street
Wailuku, HI 96793
(20.8848470000, -156.4894510000)",,,
Hawaii Convention Center,"In parking structure, Aisle B next to pedestrian walkway",Oahu,96815,$2.00/hour,$10,Hawaii Convention Center,Varies by event.,1,Charging fee is $2/hour.  Parking fees may apply.,1,Paid,Volta,2,"1801 Kalakaua Ave
Honolulu, HI 96815
(21.2898140000, -157.8359200000)",,,
Kapolei Judiciary State Ownership,Enter the parking lot and continue to the rear entrance of the building. Two charging stations are located next to the loading docks.,Oahu,96707,"$2.00/hour, up to 4 hours",Free for EV drivers,Kapolei Judiciary State Ownership,7:00am-5:00pm,2,Charging fee is $2/hour.  4 hour limit. Free parking for EV drivers. ,2,Paid,Volta,2,"4675 Kapolei Pkwy
Kapolei, HI 96707
(21.3277116000, -158.0859761000)",,,
Walmart,"First stall closest to the building, Row 3 ",Hawaii,96740,Blink Plus: $1.00/hour.  Blink Basic: $1.50/hour.  Blink Guest: $2.00/hour,,Walmart,24/7,1,Parking fees may apply. ,1,Paid,Blink,2,"325 Makaala St
Kailua Kona, HI 96740
(19.6405556000, -155.9955556000)",,,
Walmart,In the back by the garden center,Maui,96732,Blink Plus: $1.00/hour.  Blink Basic: $1.50/hour.  Blink Guest: $2.00/hour,Free,Walmart,24/7,1,Parking fees may apply.,1,Paid,Blink,2,"101 Pakaula Street
Kahului, HI 96732
(20.8779003000, -156.4558094000)",,,
Walmart,Level 1 Section 02 of the parking garage.,Oahu,96813,Blink Plus: $1.00/hour.  Blink Basic: $1.50/hour.  Blink Guest: $2.00/hour,,Walmart,24/7,2,Parking fees may apply.  ,1,Paid,Blink,2,"700 Keeaumoku Street
Honolulu, HI 96813
(21.2949185000, -157.8419603000)",,,
Walmart,First parking spot closest to the entrance.,Hawaii,96740,Blink Plus: $1.00/hour.  Blink Basic: $1.50/hour.  Blink Guest: $2.00/hour,,Walmart,24/7,1,Parking fees may apply.,1,Paid,Blink,2,"75-1015 Henry Street
Kailua Kona, HI 96740
(19.6454670000, -155.9902870000)",,,
Aloha Island Mart Kahala,In the parking lot.,Oahu,96816,$6/Session,,Aloha Island Mart Kahala,24/7,1,Retrieve a FOB key with your drivers license from inside the store to activate the charging station. EV drivers can park for 35 minutes.,1,Paid,AeroVironment,3,"4339 Waialae Ave
Honolulu, HI 96816
(21.2778191000, -157.7842870000)",,,
Aloha Island Mart Waipio-Gentry,In the parking lot.,Oahu,96797,$6/Session,Free,Aloha Island Mart Waipio-Gentry,24/7,1,Retrieve a FOB key with your drivers license from inside the store to activate the charging station.   Parking fees may apply.,1,Paid,AeroVironment,3,"94-826 Ukee St
Waipahu, HI 96797
(21.4120140000, -157.9988100000)",,,